,Hotel Name,Address,Rating (5),Price (2)
133,Cafe Bugs Bunny,"BG Colony, East Delhi",5.0,700
134,Bar,"BS Nagar, North Delhi",4.8,800
135,Blackmail Lounge,"LK Nagar, North Delhi",4.4,1500
136,Pandit Ji Bhalle Wale,"WW Patel Nagar, West Delhi",4.0,300
137,Arabian Delites,"DD Colony, South Delhi",5.0,600
138,The Qube,"QT Leela Palace,Chanakyapuri, South Delhi",4.6,3500
139,The Laalten,"LK Nagar, North Delhi",4.1,1800
140,Tikka Junction,"JK Nagar, North Delhi",4.0,1500
141,Jamavar,"JT Leela Palace,Chanakyapuri, South Delhi",4.3,5500
142,Spicy Duck,"DT Palace New Delhi,Chanakyapuri, South Delhi",4.3,4000
143,Orient Express,"ET Palace New Delhi,Chanakyapuri, South Delhi",4.4,4500
144,Pizza Pirates,"PW Patel Nagar, West Delhi",4.0,500
145,Subway,"SD South Square Mall,Sarojini Nagar, South Delhi",4.8,500
146,Le Cirque,"CT Leela Palace,Chanakyapuri, South Delhi",4.4,6000
147,Megu,"MT Leela Palace,Chanakyapuri, South Delhi",4.3,5000
148,Pizza Hut,"HV Mall,Laxmi Nagar, East Delhi",4.3,800
149,Gola Sizzlers,"SP Vihar, East Delhi",4.5,1100
150,Kev's Cafe,"CS Niketan, South Delhi",4.9,300
151,The Yellow Chilli,"CV Mall,Laxmi Nagar, East Delhi",4.1,1100
152,Pizza Nostra,"NG Nagar, North Delhi",5.0,400
153,One,"O8 CommuneCivil Lines, North Delhi",4.0,2500
154,Burger Singh - Big Punjabi Burgers,"BK Nagar, East Delhi",4.0,400
155,Wood Box Cafe,"CS Niketan, South Delhi",4.4,1000
156,Moti Mahal Delux,"DS Extension - 2, South Delhi",4.3,1500
157,Chowringhee,"CS Niketan, South Delhi",4.4,600
158,Khanna Tandoori Junction,"JK Nagar, East Delhi",4.6,600
159,No. 1 Uncles Parantha,"PS Extension - 1, South Delhi",4.0,400
160,The Crypto Door,"DV Nagar, North Delhi",4.6,1000
161,Sandoz,"SA Vihar Phase - 2, North Delhi",4.1,1400
162,Crazy Kitchen Rooftop & Lounge,"LS Niketan, South Delhi",4.3,1200
163,Cafe Emoji's,"ES Niketan, South Delhi",4.2,500
164,The Salt Cafe Kitchen & Bar,"BP Vihar, East Delhi",4.3,2500
165,Cafe Diaries,"DS Niketan, South Delhi",4.4,1200
166,Wow! Momo,"MP of Delhi,Dhaula Kuan, West Delhi",4.5,400
167,Indus Flavour- Proudly Vegetarian,"VH Lane, North Delhi",4.4,1000
168,Bhalla King,"KL Nagar - 2, South Delhi",5.0,300
169,Bottle House,"HS Niketan, South Delhi",4.1,600
170,High Bae,"BD Kuan, West Delhi",4.3,1600
171,Berco's,"BP Vihar, East Delhi",4.1,1300
172,Wood Box Cafe,"CV Nagar, North Delhi",4.3,1200
173,Sandoz,"SL Nagar - 3, South Delhi",4.1,1400
174,Subway,"SV Nagar, North Delhi",4.4,500
175,Breeckyard Cafe And Lounge,"LM Bagh, South Delhi",4.1,1000
176,The Sky High,"HA Plaza Mall,Khel Gaon, South Delhi",4.1,1700
177,Jack 'n' Chill,"CV Nagar, North Delhi",4.3,1000
178,Amritsari Naan And Kulcha,"KR Nagar, West Delhi",4.8,400
179,Pizza Hut,"HH Lane, North Delhi",4.7,800
180,The Turkey Project,"PD Complex,Defence Colony, South Delhi",4.7,1400
181,Phonebooth Cafe,"CV Nagar, North Delhi",4.4,1200
182,Spezia Bistro,"BH Lane, North Delhi",4.5,1600
183,Kabul Delhi,"DL Nagar - 2, South Delhi",4.1,600
184,For God's Cake,"CH Lane, North Delhi",4.5,500
185,The Firangi Island,"IK Nagar, West Delhi",4.1,2700
186,La Nonna Pizzeria,"PH Lane, North Delhi",4.1,700
187,Telegram - The Postal Cafe and Bar,"BV Nagar, North Delhi",4.0,900
188,Waffle Crush,"CK Nagar, East Delhi",4.6,300
189,Paparizza,"PH Lane, North Delhi",4.3,900
190,736 AD Cafe & Bar,"BV Nagar, North Delhi",4.2,1800
191,T,"TK Oriental GrillHyatt Regency Delhi,Bhikaji Cama Place, South Delhi",4.4,3400
192,The Pepper Tales,"TM Nagar, West Delhi",4.3,1000
193,By The Bay,"BH Lane, North Delhi",4.0,1500
194,Cilantro Leaf,"LH Lane, North Delhi",4.0,600
195,The China Kitchen,"KH Regency Delhi,Bhikaji Cama Place, South Delhi",4.4,4500
196,Limitless,"LA Plaza Mall,Khel Gaon, South Delhi",4.2,1800
197,1 Oak Cafe & Bar,"BD Colony, South Delhi",4.2,1600
198,Breadz,"BM Vihar Phase - 2, East Delhi",5.0,400
199,Dilli Flavours,"FA Vihar Phase - 1, North Delhi",5.0,800
200,Seoul Restaurant,"RA Plaza Mall,Khel Gaon, South Delhi",4.7,3000
201,Pizza Hut,"HA Plaza Mall,Khel Gaon, South Delhi",4.8,800
202,Veg Gulati,"GG Park, South Delhi",4.3,1200
203,Aangan Reloaded,"RH Regency Delhi,Bhikaji Cama Place, South Delhi",4.9,4200
204,Housefull Cafe Lounge,"LH Lane, North Delhi",4.0,2200
205,Ada'e Haandi's,"HM Bagh, South Delhi",4.3,800
206,Kofuku,"KA Plaza Mall,Khel Gaon, South Delhi",4.4,1200
207,La Piazza,"PH Regency Delhi,Bhikaji Cama Place, South Delhi",4.5,4000
208,Kaur's Cafe,"CK Nagar, West Delhi",5.0,200
209,Only Bar,"BB Cama Place, South Delhi",4.1,1200
210,Pizza Hut,"HL Nagar - 2, South Delhi",4.1,800
211,Dunkin' Donuts,"DM Mall,Kirti Nagar, West Delhi",4.3,400
212,Dunkin' Donuts,"DM Mall,Kirti Nagar, West Delhi",4.3,400
213,4th Street Cafe,"CP Vihar, East Delhi",4.6,700
214,Polo Lounge,"LH Regency Delhi,Bhikaji Cama Place, South Delhi",4.3,3200
215,Pind Balluchi,"BL Nagar - 2, South Delhi",4.0,1400
216,Cafe,"CH Regency Delhi,Bhikaji Cama Place, South Delhi",4.1,4000
217,Pizza Hut,"HL Shopping Complex,IP Extension, East Delhi",5.0,800
218,Taco Bell,"BL Nagar - 2, South Delhi",4.0,500
219,Te Amo,"AA Plaza Mall,Khel Gaon, South Delhi",4.0,2200
220,The Waffle Co.,CN West Delhi,5.0,400
221,Wicked Waffle,"WP Vihar, East Delhi",4.0,400
222,Unwind,"UA Plaza Mall,Khel Gaon, South Delhi",4.0,1600
223,Omelette Hut,"HL Nagar - 4, South Delhi",5.0,400
224,Cafe Delhi Heights,"HS Courtyard,RK Puram, South Delhi",4.4,1300
225,Coffee Bond,"BS Extension - 2, South Delhi",4.4,1000
226,Laidback Cafe,"CS Courtyard,RK Puram, South Delhi",4.5,1800
227,D,"DA WaffleMayur Vihar Phase - 2, East Delhi",5.0,400
228,Moustache Coffee,"CM Vihar Phase - 2, East Delhi",5.0,600
229,Ziu,"ZS Courtyard,RK Puram, South Delhi",4.4,2500
230,MOC - The American Restaurant,"RM Vihar Phase - 1, East Delhi",4.0,400
231,Pizza Vizza,"VM Vihar Phase - 1, East Delhi",4.0,400
232,Desi Zaika,ZS South Delhi,5.0,1000
233,Supa's Restaurant,"RK Nagar, West Delhi",4.1,1200
234,Theos,"TS Courtyard,RK Puram, South Delhi",4.2,700
235,Sumo Restaurant,"RM ka Tila, North Delhi",4.4,700
236,Little Seoul,SS South Delhi,5.0,1400
237,Pizza Hut,"HA Vihar Phase - 2, North Delhi",4.3,800
238,Anardana Modern Kitchen & Bar,BK East Delhi,4.3,1700
239,K,"KO Nagar - 4, South Delhi",4.3,1000
240,Spice Court,"CP Payal,Naraina, West Delhi",4.0,1100
241,The Piano Man Jazz Club,"CS Enclave Market,Safdarjung, South Delhi",4.3,2500
242,High On Burgers,"BL Nagar - 4, South Delhi",4.5,300
243,Breakin' Brew,"BA Vihar, East Delhi",4.5,900
244,Cafe Junk,"JM Vihar Phase - 2, East Delhi",4.3,500
245,The Clay Oven,"OH Park Residency,Green Park, South Delhi",4.4,2000
246,Talli Station,SN West Delhi,4.1,1500
247,Madrina,"MA Vihar Phase - 2, North Delhi",4.0,1300
248,Bikaner Kesarvala,"KA Vihar Phase - 1, North Delhi",4.0,500
249,Greenr Cafe,"CN Block Market,Greater Kailash - 1, South Delhi",4.0,800
250,Nutriobox,NK East Delhi,4.4,700
251,Pizza Hut,"HK Nagar, West Delhi",5.0,800
252,Bar,"BS Mega Mall,Shahdara, East Delhi",5.0,800
253,Sardar A Pure Meat Shop,"SI Extension, East Delhi",5.0,600
254,Bell Pepperz,"PC Centre,Ashok Vihar Phase - 2, North Delhi",4.4,1200
255,Maestro A Restro Cafe,"CD Cinema Complex,Ashok Vihar Phase - 1, North Delhi",4.3,1300
256,Unique Pastry Shop,"SI Extension, East Delhi",4.2,600
257,Tete-a-,"TT Kailash - 1, South Delhi",4.5,600
258,Goosebumps,GK East Delhi,4.0,400
259,Gung The Palace,"PG Park, South Delhi",4.5,3000
260,Pizza Hut,"HA Fun City Mall,Shahdara, East Delhi",4.4,800
261,Bamboo Hut,HS South Delhi,4.3,1000
262,Drums of Heaven,"HG Park, South Delhi",4.1,1800
263,Maini's Green Leaf,"LU One Mall,Shahdara, East Delhi",4.2,1500
264,Dasaprakash,"DA Vihar Phase - 2, North Delhi",4.1,800
265,Red Chilli,"CU Cinema Complex,Green Park, South Delhi",4.0,2000
266,Raasta,"RG Park, South Delhi",4.3,2000
267,Nagaland's Kitchen,"KU Cinema Complex,Green Park, South Delhi",4.1,2200
268,Cakes And More,"MI Extension, East Delhi",4.0,400
