,Hotel Name,Address,Rating (5),Price (2)
247,Indo Kulfi,"KK Bagh, Central Delhi",0.0,200
248,Old Street Cafe,"CV Nagar, North Delhi",3.8,800
249,For God's Cake,"CH Lane, North Delhi",4.5,500
250,Judge & Jury,"JV Nagar, North Delhi",3.9,1800
251,Food Bus Of India,"ID University, North Delhi",3.9,500
252,Sharma Sweets,"SW Patel Nagar, West Delhi",1.5,400
253,The Firangi Island,"IK Nagar, West Delhi",4.1,2700
254,Young Wild Free Cafe,"CS Niketan, South Delhi",3.8,800
255,The Branch Kitchen & Bar,"BS Extension - 2, South Delhi",3.8,2200
256,La Nonna Pizzeria,"PH Lane, North Delhi",4.1,700
257,Telegram - The Postal Cafe and Bar,"BV Nagar, North Delhi",4.0,900
258,Waffle Crush,"CK Nagar, East Delhi",4.6,300
259,Camillos,"CT Manor Hotel,New Friends Colony, South Delhi",3.8,1200
260,Paparizza,"PH Lane, North Delhi",4.3,900
261,Refections- The Juice Bar,"BY Sarai, South Delhi",0.0,200
262,736 AD Cafe & Bar,"BV Nagar, North Delhi",4.2,1800
263,Shooter Hunt,"HS Niketan, South Delhi",3.6,600
264,T,"TK Oriental GrillHyatt Regency Delhi,Bhikaji Cama Place, South Delhi",4.4,3400
265,The Pepper Tales,"TM Nagar, West Delhi",4.3,1000
266,The Bowton House Cafe,"CS Niketan, South Delhi",3.5,800
267,Saleem's,"SD Colony, South Delhi",2.0,500
268,Cakes And More,"ML Nagar, East Delhi",1.0,400
269,Moh Maya Cafe,"CH Lane, North Delhi",3.8,1000
270,Turnup 2.0 Restro N Cafe,"CS Niketan, South Delhi",3.0,1200
271,By The Bay,"BH Lane, North Delhi",4.0,1500
272,Just Pizzas,"PC Nagar, East Delhi",3.0,400
273,Cilantro Leaf,"LH Lane, North Delhi",4.0,600
274,The China Kitchen,"KH Regency Delhi,Bhikaji Cama Place, South Delhi",4.4,4500
275,Limitless,"LA Plaza Mall,Khel Gaon, South Delhi",4.2,1800
276,1 Oak Cafe & Bar,"BD Colony, South Delhi",4.2,1600
277,Breadz,"BM Vihar Phase - 2, East Delhi",5.0,400
278,Dilli Flavours,"FA Vihar Phase - 1, North Delhi",5.0,800
279,Seoul Restaurant,"RA Plaza Mall,Khel Gaon, South Delhi",4.7,3000
280,Pizza Hut,"HA Plaza Mall,Khel Gaon, South Delhi",4.8,800
281,Veg Gulati,"GG Park, South Delhi",4.3,1200
282,Aangan Reloaded,"RH Regency Delhi,Bhikaji Cama Place, South Delhi",4.9,4200
283,Housefull Cafe Lounge,"LH Lane, North Delhi",4.0,2200
284,Ada'e Haandi's,"HM Bagh, South Delhi",4.3,800
285,RDX Reloaded Restaurant & Bar,"BS Enclave Market,Safdarjung, South Delhi",3.9,1500
286,Kofuku,"KA Plaza Mall,Khel Gaon, South Delhi",4.4,1200
287,La Piazza,"PH Regency Delhi,Bhikaji Cama Place, South Delhi",4.5,4000
288,Kaur's Cafe,"CK Nagar, West Delhi",5.0,200
289,Kabul Delhi,"DL Nagar - 2, South Delhi",3.0,600
290,Only Bar,"BB Cama Place, South Delhi",4.1,1200
291,Oh Boy Lounge & Bar,"BH Lane, North Delhi",3.4,1200
292,Stupid Bar & Kitchen,"KL Nagar - 2, South Delhi",3.5,1000
293,Pizza Hut,"HL Nagar - 2, South Delhi",4.1,800
294,Dunkin' Donuts,"DM Mall,Kirti Nagar, West Delhi",4.3,400
295,Dunkin' Donuts,"DM Mall,Kirti Nagar, West Delhi",4.3,400
296,4th Street Cafe,"CP Vihar, East Delhi",4.6,700
297,Subway,"SS Plaza 2,Mayur Vihar Phase - 1, East Delhi",3.6,500
298,Polo Lounge,"LH Regency Delhi,Bhikaji Cama Place, South Delhi",4.3,3200
299,Pind Balluchi,"BL Nagar - 2, South Delhi",4.0,1400
300,Defaulter Cafe,"CS Niketan, South Delhi",2.8,800
301,Cafe,"CH Regency Delhi,Bhikaji Cama Place, South Delhi",4.1,4000
302,Pizza Hut,"HL Shopping Complex,IP Extension, East Delhi",5.0,800
303,Taco Bell,"BL Nagar - 2, South Delhi",4.0,500
304,Mad Over Donuts,"DL Nagar - 2, South Delhi",3.9,500
305,Te Amo,"AA Plaza Mall,Khel Gaon, South Delhi",4.0,2200
306,Waffle Nation,"NV Nagar, North Delhi",3.2,400
307,Biryani Blues,"BL Nagar - 2, South Delhi",3.9,700
308,The Waffle Co.,CN West Delhi,5.0,400
309,Wicked Waffle,"WP Vihar, East Delhi",4.0,400
310,Unwind,"UA Plaza Mall,Khel Gaon, South Delhi",4.0,1600
311,Sista'z Cafe,"CM Bagh, South Delhi",2.4,800
312,Omelette Hut,"HL Nagar - 4, South Delhi",5.0,400
313,Cafe Delhi Heights,"HS Courtyard,RK Puram, South Delhi",4.4,1300
314,Coffee Bond,"BS Extension - 2, South Delhi",4.4,1000
315,Laidback Cafe,"CS Courtyard,RK Puram, South Delhi",4.5,1800
316,D,"DA WaffleMayur Vihar Phase - 2, East Delhi",5.0,400
317,Moustache Coffee,"CM Vihar Phase - 2, East Delhi",5.0,600
318,Ziu,"ZS Courtyard,RK Puram, South Delhi",4.4,2500
319,MOC - The American Restaurant,"RM Vihar Phase - 1, East Delhi",4.0,400
320,Pizza Vizza,"VM Vihar Phase - 1, East Delhi",4.0,400
321,Southy,"SL Nagar - 3, South Delhi",3.0,500
322,Desi Zaika,ZS South Delhi,5.0,1000
323,Supa's Restaurant,"RK Nagar, West Delhi",4.1,1200
324,Angithi Indian,"IM Vihar Phase - 1, East Delhi",3.9,1500
325,Syrah,"SH Regency Delhi,Bhikaji Cama Place, South Delhi",3.6,2000
326,Theos,"TS Courtyard,RK Puram, South Delhi",4.2,700
327,Sumo Restaurant,"RM ka Tila, North Delhi",4.4,700
328,Little Seoul,SS South Delhi,5.0,1400
329,Pizza Hut,"HA Vihar Phase - 2, North Delhi",4.3,800
330,Anardana Modern Kitchen & Bar,BK East Delhi,4.3,1700
331,K,"KO Nagar - 4, South Delhi",4.3,1000
332,Spice Court,"CP Payal,Naraina, West Delhi",4.0,1100
333,The Piano Man Jazz Club,"CS Enclave Market,Safdarjung, South Delhi",4.3,2500
334,High On Burgers,"BL Nagar - 4, South Delhi",4.5,300
335,Bunty Dhaba,"DK Nagar, East Delhi",1.0,400
336,Kitchen & Chicken,"CS Extension - 2, South Delhi",2.2,700
337,Breakin' Brew,"BA Vihar, East Delhi",4.5,900
338,Cafe Junk,"JM Vihar Phase - 2, East Delhi",4.3,500
339,The Clay Oven,"OH Park Residency,Green Park, South Delhi",4.4,2000
340,Talli Station,SN West Delhi,4.1,1500
341,Kake Da Hotel,"HA Vihar Phase - 1, North Delhi",3.7,800
342,Mr. Crust Bakers,"BA Vihar Phase - 1, North Delhi",3.7,400
343,Madrina,"MA Vihar Phase - 2, North Delhi",4.0,1300
344,Bikaner Kesarvala,"KA Vihar Phase - 1, North Delhi",4.0,500
345,Greenr Cafe,"CN Block Market,Greater Kailash - 1, South Delhi",4.0,800
346,Nutriobox,NK East Delhi,4.4,700
347,Pizza Hut,"HK Nagar, West Delhi",5.0,800
348,Bar,"BS Mega Mall,Shahdara, East Delhi",5.0,800
349,Sardar A Pure Meat Shop,"SI Extension, East Delhi",5.0,600
350,Bell Pepperz,"PC Centre,Ashok Vihar Phase - 2, North Delhi",4.4,1200
351,Maestro A Restro Cafe,"CD Cinema Complex,Ashok Vihar Phase - 1, North Delhi",4.3,1300
352,Stony's by Tony's,"TL Nagar - 4, South Delhi",3.8,800
353,Saleem Mughlai Foods,"FA Vihar Phase - 1, North Delhi",3.0,800
354,Unique Pastry Shop,"SI Extension, East Delhi",4.2,600
355,Tete-a-,"TT Kailash - 1, South Delhi",4.5,600
356,Goosebumps,GK East Delhi,4.0,400
357,Gung The Palace,"PG Park, South Delhi",4.5,3000
358,Unlimited Food Factory,"FP Vihar, East Delhi",3.0,1000
359,Tikka Junction,"JK Nagar, West Delhi",3.7,1000
360,Pizza Hut,"HA Fun City Mall,Shahdara, East Delhi",4.4,800
361,Bamboo Hut,HS South Delhi,4.3,1000
362,Smokin Burger,BN West Delhi,3.3,400
363,Drums of Heaven,"HG Park, South Delhi",4.1,1800
364,Maini's Green Leaf,"LU One Mall,Shahdara, East Delhi",4.2,1500
365,36 Lebzelter,"LM Vihar Phase - 1, East Delhi",3.3,400
366,Dasaprakash,"DA Vihar Phase - 2, North Delhi",4.1,800
367,Red Chilli,"CU Cinema Complex,Green Park, South Delhi",4.0,2000
368,Raasta,"RG Park, South Delhi",4.3,2000
369,Nagaland's Kitchen,"KU Cinema Complex,Green Park, South Delhi",4.1,2200
370,Cakes And More,"MI Extension, East Delhi",4.0,400
371,Smelling Salts,"SA Vihar Phase - 2, North Delhi",4.4,1500
372,Laidback Cafe,"CG Kailash - 1, South Delhi",4.3,3000
373,Clay 1 Grill,"GK Nagar, West Delhi",4.1,1600
374,Bokan,"BE of Kailash, South Delhi",4.1,2100
375,Ambrosia,"AT Golden Palms Hotel,IP Extension, East Delhi",3.9,2500
376,Bread and More,"MG Kailash - 1, South Delhi",4.2,1000
377,Godaam by Zaika Bazaar,"BP Complex,Karkardooma, East Delhi",4.0,1300
378,Otik Cake Shop,"SM Town 2, North Delhi",5.0,500
379,Kake Da Hotel,"HM Town 1, North Delhi",3.8,800
380,Nazeer Delicacies,"DR Puram, South Delhi",3.6,700
381,Miglani Eating House,"HM Nagar, North Delhi",3.8,600
382,The Dessart gallery by Veg Gulati,"GG Park, South Delhi",4.2,500
383,Hashtag Foods,FK East Delhi,4.4,500
384,Six Degree,"DS Enclave Market,Safdarjung, South Delhi",3.7,500
385,London Street,"SA Mega Mall,Shahdara, East Delhi",4.1,1400
386,Cafe Bro,"BA Vihar Phase - 2, North Delhi",4.2,1000
387,Pizza Hut,"HS City Mall,Mayur Vihar Phase - 1, East Delhi",4.5,800
388,SGF - Spice Grill Flame,"FC Centre,Ashok Vihar Phase - 2, North Delhi",3.4,500
389,Dilli 3,"32 Leela Ambience Convention Hotel,Shahdara, East Delhi",4.5,4500
390,The Marketplace,"MK Nagar, West Delhi",3.8,2000
391,Radhey Krishna Choley Bhature,BK East Delhi,3.0,300
392,Punjabi Joint,"JR Nagar, West Delhi",5.0,900
393,Pasta Town,"TL Nagar - 4, South Delhi",3.0,600
394,Le Chef,"CC River Mall,Shahdara, East Delhi",4.2,1000
395,Flirty Momo's,"MR Nagar, West Delhi",5.0,500
396,Xpose Lounge,"LI Twin Tower,Netaji Subhash Place, North Delhi",3.8,2400
397,Platinum Lounge,"LS City Mall,Mayur Vihar Phase - 1, East Delhi",4.1,1800
398,Sumo Sushi,"SA Complex,Green Park, South Delhi",3.5,900
399,Deck Of Spices,"SK Nagar, West Delhi",3.7,1
400,Cafe Knosh,"KT Leela Ambience Convention Hotel,Shahdara, East Delhi",4.3,3000
401,Suruchi,"SK Bagh, Central Delhi",4.3,1100
402,G2 Cafe,CK East Delhi,4.2,1600
403,Cafe Shots,"SG Town, North Delhi",3.4,1600
404,Anupama Sweet,"SK Colony, South Delhi",5.0,800
405,Eleven To Eleven,"EC River Mall,Shahdara, East Delhi",3.7,1200
406,Kaos,"KE of Kailash, South Delhi",3.6,1500
